Date,ICCO daily price (US$/tonne),TAVG,TMIN,TMAX,PRCP
2017-08-01,2069.22,78.14285714285714,73.5,83.7489417989418,0.006666666666666666
2017-07-31,2110.8100000000004,78.875,73,84,0.003333333333333333
2017-07-28,2105.6,79.11111111111111,73.33333333333333,84.55555555555556,0
2017-07-27,2056.65,78.14285714285714,73.2,84.2,0.0075
2017-07-26,1975.8799999999999,77.5,73,81.66666666666667,0
2017-07-25,1990.6899999999998,NA,NA,NA,NA
2017-07-24,2029.47,76.33333333333333,73.75,84.4318783068783,0.18250000000000002
2017-07-21,2027.8799999999999,79.875,75.16666666666667,84.57142857142857,0.026666666666666665
2017-07-20,2015.82,79.22222222222223,73.6,84.77777777777777,0.04
2017-07-19,2004.46,79.2,74.66666666666667,84.77777777777777,0.086
2017-07-18,1976.28,78.55555555555556,73.85714285714286,85.71428571428571,0.22749999999999998
2017-07-17,1975.04,78,71.28571428571429,84,0
2017-07-14,1977.8,78.875,71.65873015873017,83.83333333333333,0
2017-07-13,1938.43,77.88888888888889,71.57142857142857,85.28571428571429,0
